column_name,description,pct_missing,n_unique,data_type
r_cpg_non_food_beverage_cannabis_medical,Advertising restriction: Cpg Non Food Beverage Cannabis Medical,0.0,2,Boolean
r_cpg_non_food_beverage_cannabis_recreational,Advertising restriction: Cpg Non Food Beverage Cannabis Recreational,0.0,2,Boolean
r_cpg_non_food_beverage_cbd_hemp_non_thc,Advertising restriction: Cpg Non Food Beverage Cbd Hemp Non Thc,0.0,2,Boolean
r_alcohol_drink_responsibly_message,Advertising restriction: Alcohol Drink Responsibly Message,0.0,1,Boolean
r_alternative_transportation,Advertising restriction: Alternative Transportation,0.0,2,Boolean
r_associations_and_npo_anti_smoking,Advertising restriction: Associations And Npo Anti Smoking,0.0,2,Boolean
r_automotive_after_market_oil,Advertising restriction: Automotive After Market Oil,0.0,2,Boolean
r_cpg_beverage_spirits_ooh,Advertising restriction: Cpg Beverage Spirits Ooh,0.0,2,Boolean
r_cpg_beverage_spirits_video,Advertising restriction: Cpg Beverage Spirits Video,0.0,2,Boolean
r_cpg_non_food_beverage_e_cigarette,Advertising restriction: Cpg Non Food Beverage E Cigarette,0.0,2,Boolean
r_entertainment_casinos_and_gambling,Advertising restriction: Entertainment Casinos And Gambling,0.0,2,Boolean
r_government_political,Advertising restriction: Government Political,0.0,2,Boolean
r_automotive_electric,Advertising restriction: Automotive Electric,0.0,2,Boolean
r_recruitment,Advertising restriction: Recruitment,0.0,2,Boolean
r_restaurants_cdr,Advertising restriction: Restaurants Cdr,0.0,2,Boolean
r_restaurants_qsr,Advertising restriction: Restaurants Qsr,0.0,2,Boolean
r_retail_automotive_service,Advertising restriction: Retail Automotive Service,0.0,2,Boolean
r_retail_grocery,Advertising restriction: Retail Grocery,0.0,2,Boolean
r_retail_grocerty_with_fuel,Advertising restriction: Retail Grocerty With Fuel,0.0,2,Boolean
c_emv_enabled,EMV chip payment terminal enabled,82.42,3,String
c_nfc_enabled,NFC contactless payment enabled,12.23,3,String
c_open_24_hours,Site operates 24 hours a day,0.0,2,String
c_sells_beer,Site sells beer,0.21,3,String
c_sells_diesel_fuel,Site sells diesel fuel,85.8,3,String
c_sells_lottery,Site sells lottery tickets,0.36,3,String
c_vistar_programmatic_enabled,Vistar programmatic ads enabled,0.0,2,Boolean
c_walk_up_enabled,Walk-up customer interaction enabled,97.57,3,String
c_sells_wine,Site sells wine,0.27,3,String
brand_fuel,Fuel brand sold at the site,0.0,294,String
brand_restaurant,Restaurant brand co-located at the site,95.36,335,String
brand_c_store,Convenience store brand at the site,0.01,17682,String
monthly_impressions_per_screen,Monthly impressions per screen,9.23,124558,Float64
monthly_nvis_per_screen,Monthly NVIs per screen,10.5,120017,Float64
monthly_revenue_per_screen,Monthly revenue per screen,0.23,349626,Float64
